Subject_Mu,centerPsyMu20,centerCSDMu20,centerPsyMu100,centerCSDMu100,peripheryPsyMu20,peripheryCSDMu20,peripheryPsyMu100,peripheryCSDMu100
1,-0.063766957,-0.138219216,-0.110905646,-0.002153586,0.004116158,0.023326223,0.104699467,0.00840291
2,0.188875878,-0.076238797,-0.050509993,0.015428812,-0.244946709,0.272953323,-0.051087489,0.062281387
3,0.038563603,-0.049850558,0.000536845,-0.02660947,-0.027701978,-0.017409839,-0.034770787,-0.026637688
4,0.14,0.14,0.11646943,-0.066369406,0.225357911,-0.246470647,0.342348278,-0.299440583
5,-0.195254106,-0.195254106,-0.191878955,0.121530121,0.121090623,-0.084936547,0.115169402,-0.152448717
6,-0.211947456,-0.066376076,-0.172423799,0.045197174,0.052169934,-0.116682369,0.00567519,-0.047549523
7,-0.55421864,0.714181744,-0.565376452,-0.565376452,0.014656248,0.095103455,-0.354326507,0.310715284
8,0.412527988,-0.162366416,0.333781393,-0.263877208,0.006050791,0.236553842,0.216328901,0.05761598
9,-0.160590809,0.132791544,-0.088883522,0.078652863,0.029941669,0.029941669,-0.091523189,0.061383651
10,-0.119286893,-0.119286893,-0.067262071,0.03670705,-0.08468864,0.03386331,-0.030737969,0.046686349
11,-0.332346059,0.306634906,-0.249148512,0.232144338,-0.497980948,0.470577849,-0.520400584,0.49285271
12,0.22,0.22,0.287690014,-0.189647352,-0.05034236,-0.05034236,-0.031350439,-0.020575341
13,0.578386307,-0.258642835,0.263479162,-0.112905385,0.045495692,0.069094945,-0.401842711,0.359688564
14,0.039376256,-0.034883592,-0.046600944,0.050519518,0.085907513,-0.192263464,-0.010905174,0.048171981
15,-0.019814082,-0.011891258,-0.066817678,0.034748646,-0.023564211,-0.007265082,-0.013557414,-0.006877968
16,0.560000026,0.560000026,0.217713611,-0.220353869,0.057395097,-0.017933989,0.107973388,-0.03780845
17,0.100466244,0.01294581,0.02151592,0.013278051,0.157899866,-0.054042463,0.055921488,0.00568823
18,0.055012714,-0.106365954,-0.206326066,0.114586333,-0.23979214,-0.23979214,-0.098217682,0.073804375
19,-0.292155085,0.350230803,-0.119786909,0.095314461,-0.380711401,-0.023028461,-0.127401914,0.019086181
20,0.056487325,0.056487325,0.056122509,-0.079881406,0.20873703,-0.141804831,0.120519236,-0.118997192
21,-0.031344383,0.050661275,-0.100045602,0.022788984,-0.259679643,-0.259679643,-0.059242462,0.013864448
22,0.079582497,-0.063281078,0.022467041,-0.020964133,0.028196975,-0.004902561,0.048388758,-0.03572701
23,-0.684807789,-0.684807789,-0.517532722,0.460762215,0.026168312,0.15042898,0.194456852,-0.243817138
24,0.137118322,0.137118322,0.011948797,-0.065179379,-0.460066685,-0.460066685,-0.002932843,-0.107484371
25,-0.047760638,0.072201544,0.060889663,-0.128941647,-0.016578582,-0.102095844,-0.022639086,0.004602159
26,0.104677457,-0.176404508,0.121772948,-0.190136415,-0.156255774,0.006836968,0.150079085,-0.199305896
27,-0.259136524,-0.259136524,-0.078082865,0.02208133,0.055164426,-0.061647749,0.050076302,-0.067360234
28,-0.505216291,0.209079675,-0.21743775,0.04109435,0.24206426,0.233101377,-0.032124931,0.069667173
29,0.315716917,-0.114905676,-0.128099248,0.014027019,0.559991398,0.559991398,0.011833205,-0.074885252
30,0.319948063,0.319948063,0.037236497,-0.087700297,0.248547098,-0.362999487,0.177103447,-0.278777199
31,0.047549273,-0.0829362,0.156720232,-0.123209106,0.139910561,0.139910561,0.321687668,-0.336224162
32,0.07205319,-0.225113985,0.052077008,-0.078470864,0.413765388,-0.292215855,0.032093119,-0.154825181
33,0.16897038,-0.086819428,-0.085683572,0.154996584,-0.163712851,0.118126986,-0.17474211,0.137316955
34,0.195617732,0.034758577,0.363748745,0.363748745,0.253733889,-0.317295563,0.150127868,-0.042234975
35,-0.189571539,-0.189571539,-0.23520411,-0.23520411,-0.001988914,-0.033643409,-0.010397892,0.016281898
36,-0.057097554,-0.023599144,-0.036428822,0.030275268,0.018461903,0.093909828,-0.011247908,-0.021342508
37,0.009044044,0.009044044,0.047568692,-0.024027988,-0.132008938,0.161703838,0.05987416,-0.053026721
38,-0.057596055,0.227259018,-0.061317863,0.087954812,-0.266515656,0.104708338,0.065714859,-0.122611392
39,0.156017653,-0.035582267,-0.007375382,0.034424841,-0.027795934,0.117598439,-0.017838543,0.021030663
40,0.102971594,-0.057327512,-0.248615188,0.20462058,-0.301499663,0.23933691,-0.357612933,0.311674704
41,-0.210591734,0.200413888,-0.048059404,0.043187331,-0.116578648,0.054472074,-0.11489185,0.086092659
42,0.121066157,0.121066157,-0.083561425,0.041406265,-0.072103208,0.063113619,-0.056784153,0.009732577
43,0.043582608,0.007148096,-0.014987406,-0.016955523,-0.109159336,-0.045742569,0.001723424,-0.020938586
44,0.023377953,-0.101292222,0.016537405,-0.085775937,0.247246206,-0.333516272,0.051117115,-0.152000872
45,-0.214242509,-0.214242509,-0.031402654,0.010101101,-0.5,-0.5,-0.284058208,0.131787808
46,-0.003365042,-0.019686426,-0.141004684,0.102348717,0.175117316,0.002839246,0.104963114,0.000419056
47,0.360007328,0.360007328,0.139517903,-0.096327685,-0.666362124,-0.666362124,0.095908439,0.000135911
48,0.486952825,0.144540172,0.050770164,-0.037306205,0.167640126,-0.279202352,0.048215436,-0.195636059
49,-0.180662051,0.208249475,-0.005632783,0.072858598,0.040163474,0.020311454,-0.069316281,0.043404234
50,0.087901424,-0.079060441,0.040706907,-0.091973898,0.001584845,-0.067970589,-0.009180574,-0.057128115
51,-0.03003615,-0.03003615,0.033638578,-0.02264495,0.076428157,0.044786652,-0.031333464,0.051339734
52,0.115500474,-0.129946838,-0.113826967,0.119157013,-0.018267515,-0.037601511,-0.214406431,-0.214406431
53,0.253274132,-0.188582348,-0.089331661,0.116849361,-0.127115189,-0.226565828,0.019569167,-0.065902578
54,0.079952001,-0.062741683,0.083857646,-0.096008183,0.050000416,-0.098188906,0.027412574,-0.059762979
55,-0.055842012,0.077712648,-0.025060847,0.064360394,-0.115778495,0.129629688,-0.020086603,0.035989203
56,-0.42,-0.42,-0.340618232,-0.340618232,0.03979222,0.063928396,-0.370972961,0.273545119
57,0.303338861,-0.10890935,0.05413896,-0.110343589,0.000334158,-0.053435725,7.00E-05,-0.04069042
58,-0.38,-0.38,0.141349457,-0.139605648,-0.015096763,-0.055024294,0.103791867,-0.147386756
59,0.371887453,-0.173403169,0.11640968,-0.029058381,0.497620334,0.497620334,0.166186502,-0.070715799
60,-0.056662204,0.021495314,-0.026734171,0.036134347,-0.140528507,0.044482002,0.003003231,0.023036726
61,0.056055975,-0.09387762,-0.015077031,0.008414648,0.018187778,0.018187778,-0.064030648,0.076104739
62,0.053553931,0.019286441,0.012656543,-0.007123909,0.187287994,0.187287994,0.008015658,-0.034484975
63,0.045098038,0.04538388,-0.104171096,0.099163946,0.208486485,-0.125707386,0.038888401,-0.083787551
64,-0.552111556,-0.552111556,-0.051710162,0.099247657,-0.256434384,0.255409831,-0.17122361,0.081892874
65,0.372354127,0.372354127,0.073643798,-0.115446417,-0.119921521,-0.119921521,-0.044473816,-0.020513906
66,0.045430027,0.004349537,0.020374299,0.027853268,-0.120421451,0.07139541,-0.028463506,0.010468456
67,-0.011022436,-0.040524277,-0.207965054,0.090727638,0.289662071,-0.147888149,-0.239671834,0.235176917
68,-0.035333479,-0.007475057,-0.100608697,0.086384953,-0.213704423,0.091716351,-0.075679943,0.021588292
69,-0.10542833,0.112034949,-0.09894954,0.030116013,0.007138707,-0.079503591,0.030074124,-0.053932198
70,-0.132644922,0.004425038,-0.094348755,0.067118895,-0.009416112,-0.08394296,0.042594803,0.042594803
71,0.124529505,-0.074209223,0.22856769,-0.151905764,0.221376619,-0.031455682,-0.064931578,0.014235863
72,0.2,0.2,-0.010639217,0.076484548,0.027866136,0.014113092,0.089624756,-0.083579932
73,-0.231972887,0.229299681,-0.130006298,0.122743566,0.086341025,-0.12102843,0.234481244,-0.161147824
74,0.149870125,-0.067814869,-0.061518226,-0.004156437,0.308346708,-0.119797464,0.110708208,-0.079191079
75,0.147791263,0.003800479,0.101888145,-0.069329858,-0.067972821,0.089212316,-0.062760435,0.06058416
76,-0.297169429,-0.297169429,0.030558127,-0.011160187,0.21140357,-0.130129534,0.21069615,-0.12771401
77,-0.00758692,0.013518376,0.189409688,-0.144907611,0.259800742,-0.144472459,0.127365812,-0.119012331
78,0.34023857,0.34023857,0.127539249,-0.058711354,0.087212322,-0.084234721,0.103026728,-0.073031486
79,0.378216069,0.378216069,0.036548398,-0.052051111,0.374101025,-0.131715742,0.225991105,-0.153121487
80,0.415890747,-0.231022723,0.033495662,-0.153437535,-0.2437725,0.006853649,-0.082988116,-0.018565345
81,0.120004505,0.120004505,-0.062170612,0.245842581,-0.092880634,0.207123698,-0.130489113,0.267479523
82,-0.031119695,-0.117630507,0.36831262,-0.379013307,0.292680773,-0.181138911,0.024139497,-0.032906606
83,0.151510353,-0.043650043,-0.051620254,0.068914347,0.669555079,-0.405888278,0.174710831,-0.160433758
84,-0.464701283,-0.464701283,-0.247602253,0.091364864,0.40000587,0.40000587,0.069199687,-0.059604373
85,-0.078819243,0.029838513,-0.175426172,0.049774209,0.51058092,-0.393949266,0.157512605,-0.185808697
86,-0.079463093,-0.079463093,-0.195660872,0.086258942,-0.023263088,-0.005989454,0.01736046,-0.057616548
87,-0.062612237,0.055557968,-0.039897526,0.059783274,0.467259539,0.467259539,-0.062516513,0.089598642
88,0.160355531,0.160355531,-0.062004543,0.056671675,0.05271974,0.05271974,-0.018023902,-0.038040187
89,0.231371286,-0.005835677,-0.065721354,0.044209911,-0.05209105,-0.041922198,0.022035519,-0.055149966
90,0.026925713,0.039959368,-0.092307224,0.046855389,0.698009824,0.698009824,0.680428485,0.680428485
91,-0.411277232,-0.411277232,0.068594474,-0.133385618,-0.001723504,-0.052018358,0.1301307,-0.089572982
92,0.076506573,-0.086284131,0.020902911,-0.02268158,0.20977446,-0.219544086,0.167061957,-0.101177656
93,-0.154287427,0.086415919,-0.065554645,0.032129834,-0.469573377,0.182433239,0.024656302,-0.089186042
94,0.015127822,-0.092809692,-0.057084116,-0.099471815,0.37094118,-0.491986257,0.273707266,-0.327519303
95,0.1356082,-0.044799657,-0.083988351,0.033149669,-0.065714178,0.116853892,0.064856451,0.006845305
96,-0.19788306,0.08926453,-0.15011623,-0.119054534,-0.142887501,0.002828053,-0.094861119,-0.020033107
97,-0.236961807,-0.070231008,-0.101616058,-0.043292099,-0.198446477,-0.059978245,0.315335943,-0.262256136
98,-0.42,-0.42,-0.135370793,-0.144352565,0.228807731,-0.134620637,-0.083725186,-0.081305
99,-0.464144597,-0.464144597,-0.12999795,-0.069126746,0.437394473,0.437394473,0.087418077,-0.084710032
100,-0.043516574,0.04499548,-0.048976276,0.050012226,0.098863695,-0.016578111,0.12023863,-0.042424843
101,-0.155401537,-0.155401537,-0.094048067,0.076783746,-0.239245106,0.102615351,0.007671586,-0.030364109
102,-0.056162823,0.021184577,-0.048893787,-0.000637388,-0.047760441,-0.130279147,-0.055757969,-0.029508135
103,0.004286929,0.073035729,0.079393674,0.079393674,0.14,0.14,0.051624468,-0.039995125
104,-0.340323334,0.422006775,-0.727018281,-0.727018281,0.115826774,-0.103900333,-0.397674179,0.272138563
105,0.280163954,0.280163954,0.143574816,-0.022697114,-0.06163771,0.141189404,0.010901328,0.016688684
